#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus
ASV_4832	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ASV_21697	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
ASV_7405	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_4623	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8705	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_7746	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_8988	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_10046	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8935	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter
ASV_5509	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_23103	Bacteria	Firmicutes	Clostridia	Clostridiales	XI	Sedimentibacter
ASV_3469	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_11996	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Saccharofermentans
ASV_16758	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_3623	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
ASV_10672	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8915	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_22822	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_8778	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_11150	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-004
ASV_23233	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_7993	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_1189	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_22602	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_990	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_12292	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
