SampleID	Initial_weight	inal_weight	Race	Mother	Mother_Race	ather	eed_version	Birth	Slaughter	Age(days)	CH4_daily_mean	CH4_ia	iae	Initial_Group	CH4_group	Biome	Diet	Sample_type	Ca mg/kg	e mg/kg	K mg/kg	Mg mg/kg	Mn mg/kg	Na mg/kg	P mg/kg	Zn mg/kg	CAR	CHR	GDP
238	368	524	NY	350	NX	2418	5.7	09/11/14	16/11/16	738	173.37	56.98	2	pesado	Medium_high	Rumen	vencional	Rumen_vencional	2280	527	8.65	544	40.1	16.68	6.2	67.9	0.592381978	-0.3132450948	
239	280.5	426.5	NY	367	NX	159	7.1	14/11/14	16/11/16	733	186.64	33.74	2	leve	Medium_high	Rumen	produto	Rumen_produto	6720	17799	6.96	869	63.9	17.1	8.9	92.4	0.8351945829	-0.05859438019	
240	305	424	NY	317	NX	501	6.3	21/11/14	16/11/16	726	157.54	77.17	2	leve	Medium_low	Rumen	produto	Rumen_produto	8235	9591	6.72	455	61.4	20.9	7.5	72.3	-0.3462991871	0.7006350238	
242	316.5	428	NY	370	NX	2941	6.5	30/11/14	17/10/16	687	178.71	34.68	1.91	leve	Medium_high	Rumen	vencional	Rumen_vencional	4091	755	5.55	188	31.4	19.2	7.2	59.3	0.4086948298	-2.681033464	
244	339	434	NY	366	NX	67	6.5	14/12/14	17/10/16	673	168.35	42.17	1.84	pesado	Medium_high	Rumen	vencional	Rumen_vencional	4779	2374	7.96	338	48.9	23	8.7	62.5	-0.6250101732	-0.2728984922	
246	349.5	477	NY	285	NX	1769	7.4	24/12/14	16/11/16	693	161.67	63.95	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	6061	755	7.98	770	57.8	18.4	8.1	91.9	-0.2913145057	0.3905822613	
464	313	481	NX	1211	NI	1849	3.3	28/10/14	16/11/16	750	170	N/A	2	leve	Medium_high	Rumen	produto	Rumen_produto	10425	720	9.77	531	59.9	23.9	10.2	87.9	-1.375300164	0.828306224	
466	345	442	NX	1271	NI	572	8.6	01/11/14	17/10/16	716	135.07	45.94	1.91	pesado	Low	Rumen	vencional	Rumen_vencional	8724	1702	6.41	431	52.1	22.9	9.55	78	0.2029431793	-0.3182493425	
468	256.5	384	NX	1232	NI	185	4.4	05/11/14	16/11/16	742	164.52	47.46	2	leve	Medium_low	Rumen	produto	Rumen_produto	35553	39623	7.57	982	106.8	13.4	11.1	0	0.1870177174	1.04049289	
470	367.5	488	NX	1118	NI	3125	8.7	07/11/14	17/10/16	710	154.59	75.06	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	5546	15010	6.23	346	53.3	20.9	7.2	54.4	0.6097632162	0.4323553856	
